"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Products 模块","新增商品","0","0","1","0","0"
"","Users 模块","查询单个用户","0","0","3","0","0"
"","Auth 模块","登录失败 — 凭证错误","0","0","2","0","0"
"","Users 模块","用户列表","0","0","1","0","0"
"","Products 模块","商品列表 — 分页参数","0","0","3","0","0"
"","Products 模块","部分更新商品","0","0","1","0","0"
"","Products 模块","查询单个商品","0","0","3","0","0"
"","Users 模块","获取用户购物车","0","0","1","0","0"
"","Products 模块","删除商品","0","0","1","0","0"
"","Auth 模块","获取当前用户信息","0","0","1","0","0"
"","Products 模块","商品列表","0","0","1","0","0"
"","Products 模块","全量更新商品","0","0","1","0","0"
"","Auth 模块","登录成功","0","0","1","0","0"
"","Users 模块","用户搜索","0","0","1","0","0"
"","Products 模块","商品搜索 — 有结果","0","0","1","0","0"
"","Products 模块","商品搜索 — 无结果","0","0","1","0","0"
